1	4721	2.66923	10.20018	19861
2	4831	2.9151	10.42946	19858
3	4759	2.95256	10.08883	19862
4	4854	3.26564	10.26821	19855
5	4889	2.69495	10.06773	19856
6	4748	3.24666	10.05721	19852
7	4834	2.4475	10.14208	19852
8	4932	2.9405	10.29778	19853
9	1	0	0.02035	1
10	1	0	0.09245	1
11	1	0	0.18894	1
12	4787	2.64645	10.10568	19877
13	4837	2.57342	10.08104	19884
14	4781	2.61536	10.03878	19843
15	4714	4.17329	10.01225	19802
16	4886	2.58331	10.1856	19854
17	4792	2.39892	10.07112	19883
18	3	0.29694	0.46718	5
19	4838	3.25375	10.02317	19837
20	4673	3.34667	10.0437	19832
21	4873	2.94959	10.26566	19862
22	4794	3.01578	10.36661	19876
23	1	0	0.06702	1
24	4762	2.58199	10.20213	19886
25	4680	2.72657	10.17145	19836
26	1	0	0.18364	1
27	4873	3.06243	10.00218	19856
28	4707	2.9133	10.33085	19846
29	4700	2.80397	10.10072	19876
30	4762	2.58029	10.07399	19838
31	2	0.43937	0.63687	3
32	4799	2.87302	10.05154	19845
33	1	0	0.0185	1
34	4915	2.37087	10.19901	19864
35	4912	3.26042	10.04478	19860
36	4961	2.54652	10.16162	19838
37	4830	2.39506	10.00979	19843
38	4799	3.01949	10.1329	19859
39	4820	2.83517	10.32972	19846
40	4866	3.54977	10.07084	19853
41	4813	2.57431	9.94866	19857
42	1	0	0.01096	1
43	4917	3.35132	10.12483	19867
44	4799	2.89025	10.12818	19871
45	4814	3.27195	10.0025	19844
46	4831	2.75534	10.32457	19856
47	4874	2.70889	10.30996	19834
48	4812	3.24795	10.08487	19825
49	2	0.31268	0.68665	3
50	4704	2.49851	10.15122	19856
51	4856	2.54399	10.23216	19867
52	4734	3.0617	10.04433	19882
53	4780	2.46053	10.13592	19860
54	4721	2.5873	10.35091	19826
55	2	0.06797	0.10828	3
56	4913	2.5737	10.25253	19839
57	4797	2.7334	10.0977	19834
58	4769	3.69952	10.00458	19792
59	4820	3.19743	10.02354	19832
60	4938	3.09132	10.07477	19858
61	4800	2.42518	10.27164	19833
62	1	0	0.31684	1
63	4631	3.5212	10.05445	19844
64	4783	2.41257	10.01158	19863
65	4719	2.8846	10.11856	19851
66	4781	3.11755	10.0162	19879
67	4830	2.59075	10.39148	19842
68	4785	2.92322	10.03604	19837
69	4913	2.8953	10.04963	19856
70	1	0	0.1971	1
71	4857	2.59529	10.34711	19856
72	4732	2.69942	10.01469	19800
73	4757	2.48767	10.04213	19846
74	4853	2.2754	10.46794	19832
75	4734	2.45478	10.03873	19849
76	4812	2.50578	10.29411	19865
77	4780	2.5712	10.04292	19869
78	1	0	0.0235	1
79	4812	2.40626	10.52742	19863
80	4742	2.63506	10.04768	19820
81	4867	2.77466	10.22911	19849
82	4786	2.56587	10.27616	19856
83	1	0	0.15823	1
84	4864	2.77216	10.30314	19914
85	4776	2.72046	10.14023	19835
86	4866	2.58891	10.41652	19843
87	4732	3.33182	10.11335	19841
88	1	0	0.25172	1
89	4838	2.65778	10.26685	19829
90	4799	2.72924	10.92398	19870
91	1	0	0.03463	1
92	1	0	0.02298	1
93	4902	2.53211	10.19847	19851
94	4719	3.10174	10.00573	19849
95	4766	2.36797	10.2663	19839
96	4806	2.42357	10.19415	19873
97	2	0.29904	1.04245	3
98	4810	2.33616	10.81118	19855
99	4741	2.49272	10.22446	19843
100	4858	3.61863	10.06593	19860
